market,up,down,amount,limit up,new limit up
全部,1359,2767,84525197,47,2
主板,978,1966,65464047,44,1
创业板,294,627,15856568,1,0
科创板,87,174,3204581,2,1
ts_code,trade_date,name,industry,market,open,close,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
688682.SH,20210420,N霍莱沃,软件服务,科创板,128.00,103.51,45.72,57.79,126.40,84.45,0.00,85.44,6.78,779056.72,20210420
605117.SH,20210420,N德业,家用电器,主板,39.29,47.15,32.74,14.41,44.01,0.91,0.00,21.04,3.67,18219.43,20210420
688600.SH,20210420,皖仪科技,电器仪表,科创板,16.41,19.48,16.23,3.25,20.02,13.00,11.33,39.06,3.11,79816.27,20200703
300302.SZ,20210420,同有科技,软件服务,创业板,9.11,11.02,9.19,1.83,19.91,15.86,7.97,141.84,3.73,571934.68,20120321
600701.SH,20210420,0,0,0,0.36,0.39,0.35,0.04,11.43,1.11,0.80,0.00,0.00,3484.17,0
600149.SH,20210420,廊坊发展,综合类,主板,5.03,5.57,5.06,0.51,10.08,1.90,0.98,195.89,12.57,39181.35,19991014
600960.SH,20210420,渤海汽车,汽车配件,主板,5.36,5.36,4.87,0.49,10.06,0.92,0.15,70.39,1.08,46801.46,20040407
600556.SH,20210420,天下秀,互联网,主板,10.11,10.96,9.96,1.00,10.04,4.99,3.20,67.05,5.85,255035.76,20010807
601949.SH,20210420,中国出版,出版业,主板,8.02,8.77,7.97,0.80,10.04,1.14,0.94,22.74,2.34,174421.29,20170821
600292.SH,20210420,远达环保,环境保护,主板,8.59,9.32,8.47,0.85,10.04,15.27,1.52,276.35,1.44,1052374.69,20001101
002852.SZ,20210420,道道全,食品,中小板,14.11,15.57,14.15,1.42,10.04,2.62,1.57,0.00,2.47,81049.82,20170310
002413.SZ,20210420,雷科防务,通信设备,中小板,6.86,7.24,6.58,0.66,10.03,8.67,3.82,52.70,1.95,663056.87,20100528
002383.SZ,20210420,合众思壮,通信设备,中小板,7.23,7.46,6.78,0.68,10.03,6.73,1.65,0.00,3.24,287791.34,20100402
600733.SH,20210420,北汽蓝谷,汽车整车,主板,15.14,15.14,13.76,1.38,10.03,1.06,0.20,574.87,3.64,291620.22,19960816
600178.SH,20210420,东安动力,汽车配件,主板,7.83,8.01,7.28,0.73,10.03,3.29,1.90,94.25,1.92,120765.93,19981014
603316.SH,20210420,诚邦股份,建筑工程,主板,8.23,8.23,7.48,0.75,10.03,1.69,0.85,53.05,1.89,28301.74,20170619
002997.SZ,20210420,瑞鹄模具,汽车配件,中小板,20.60,21.18,19.25,1.93,10.03,38.35,3.23,28.61,3.68,370273.82,20200903
603721.SH,20210420,中广天择,影视音像,主板,14.18,17.34,15.76,1.58,10.03,27.89,2.05,116.50,4.22,574781.26,20170811
000409.SZ,20210420,山东地矿,综合类,主板,4.63,5.05,4.59,0.46,10.02,5.99,2.79,34.94,5.17,120203.93,19960627
605198.SH,20210420,德利股份,软饮料,主板,28.59,30.97,28.15,2.82,10.02,8.74,0.55,74.95,5.60,53338.28,20200918
000995.SZ,20210420,皇台酒业,白酒,主板,18.25,20.21,18.37,1.84,10.02,13.86,2.28,52.56,28.92,481194.12,20000807
605086.SH,20210420,龙高股份,矿物制品,主板,22.41,22.41,20.37,2.04,10.01,0.83,0.00,37.64,2.98,5940.38,20210416
002378.SZ,20210420,章源钨业,小金属,中小板,9.11,10.22,9.29,0.93,10.01,11.64,1.54,0.00,5.60,1030357.70,20100331
605378.SH,20210420,野马电池,电气设备,主板,44.33,44.96,40.87,4.09,10.01,14.26,1.24,50.51,5.31,211042.49,20210412
605179.SH,20210420,一鸣食品,乳制品,主板,19.80,22.10,20.09,2.01,10.01,28.43,1.49,66.91,6.87,368432.62,20201228
003043.SZ,20210420,华亚智能,专用机械,中小板,67.00,74.02,67.29,6.73,10.00,61.92,2.15,82.45,7.91,887843.55,20210406
002054.SZ,20210420,德美化工,化工原料,中小板,10.34,10.34,9.40,0.94,10.00,5.37,4.30,42.83,2.09,172340.17,20060725
002813.SZ,20210420,路畅科技,汽车配件,中小板,41.00,42.46,38.60,3.86,10.00,39.43,1.47,0.00,12.77,573619.66,20161012
601127.SH,20210420,小康股份,汽车配件,主板,35.09,35.09,31.90,3.19,10.00,1.49,0.36,679.05,7.23,505540.82,20160615
605337.SH,20210420,李子园,乳制品,主板,51.40,55.78,50.71,5.07,10.00,13.07,0.59,47.53,6.40,274466.90,20210208
003039.SZ,20210420,顺控发展,水务,中小板,45.70,50.50,45.91,4.59,10.00,74.97,1.98,116.39,15.25,2298116.95,20210308
605369.SH,20210420,拱东医疗,医疗保健,主板,60.00,64.26,58.42,5.84,10.00,12.47,1.27,31.86,6.76,217450.33,20200916
600882.SH,20210420,妙可蓝多,乳制品,主板,66.00,71.20,64.73,6.47,10.00,2.92,2.73,1537.71,18.69,828557.97,19951206
600475.SH,20210420,华光环能,环境保护,主板,13.88,14.20,12.91,1.29,9.99,1.68,3.98,13.16,1.07,126297.20,20030721
003036.SZ,20210420,泰坦股份,纺织机械,中小板,21.65,23.67,21.52,2.15,9.99,63.15,1.30,85.37,6.19,782381.64,20210128
605005.SH,20210420,合兴股份,汽车配件,主板,19.23,21.59,19.63,1.96,9.98,21.27,0.84,45.62,6.65,179327.06,20210119
603035.SH,20210420,常熟汽饰,汽车配件,主板,15.87,15.87,14.43,1.44,9.98,1.01,0.48,15.07,1.52,55267.50,20170105
000868.SZ,20210420,安凯客车,汽车整车,主板,4.96,4.96,4.51,0.45,9.98,0.94,0.63,36.53,6.90,32375.41,19970725
601279.SH,20210420,英利汽车,汽车配件,主板,3.97,3.97,3.61,0.36,9.97,0.14,0.00,35.91,1.70,846.36,20210415
002645.SZ,20210420,华宏科技,专用机械,中小板,13.40,14.56,13.24,1.32,9.97,6.44,1.77,37.67,2.68,397893.89,20111220
603518.SH,20210420,锦泓集团,服饰,主板,6.02,6.62,6.02,0.60,9.97,1.77,1.95,15.35,1.06,28432.78,20141203
002063.SZ,20210420,远光软件,软件服务,中小板,8.71,9.60,8.73,0.87,9.97,10.99,11.48,46.69,3.94,1054483.07,20060823
002786.SZ,20210420,银宝山新,专用机械,中小板,7.88,8.06,7.33,0.73,9.96,3.89,1.70,0.00,2.88,118547.64,20151223
600616.SH,20210420,金枫酒业,红黄酒,主板,7.02,7.85,7.14,0.71,9.94,8.39,1.74,429.07,2.68,428256.78,19920929
002284.SZ,20210420,亚太股份,汽车配件,中小板,7.52,7.52,6.84,0.68,9.94,0.78,0.20,0.00,2.28,40100.37,20090828
000158.SZ,20210420,常山北明,纺织,主板,5.34,5.87,5.34,0.53,9.93,2.58,1.99,92.82,1.56,230559.80,20000724
002435.SZ,20210420,长江健康,化学制药,中小板,4.80,5.32,4.84,0.48,9.92,2.75,0.64,0.00,1.27,172644.16,20100618
industry,count,pe_mean,pe_median,pb_mean,pb_median
汽车配件,9,107.66,35.91,4.32,2.28
乳制品,3,550.72,66.91,10.65,6.87
软件服务,3,91.32,85.44,4.82,3.94
专用机械,3,40.04,37.67,4.49,2.88
汽车整车,2,305.70,305.70,5.27,5.27
环境保护,2,144.76,144.76,1.25,1.25
通信设备,2,26.35,26.35,2.59,2.59
综合类,2,115.42,115.42,8.87,8.87
软饮料,1,74.95,74.95,5.60,5.60
纺织机械,1,85.37,85.37,6.19,6.19
纺织,1,92.82,92.82,1.56,1.56
红黄酒,1,429.07,429.07,2.68,2.68
矿物制品,1,37.64,37.64,2.98,2.98
白酒,1,52.56,52.56,28.92,28.92
电气设备,1,50.51,50.51,5.31,5.31
电器仪表,1,39.06,39.06,3.11,3.11
0,1,0.00,0.00,0.00,0.00
水务,1,116.39,116.39,15.25,15.25
服饰,1,15.35,15.35,1.06,1.06
影视音像,1,116.50,116.50,4.22,4.22
建筑工程,1,53.05,53.05,1.89,1.89
小金属,1,0.00,0.00,5.60,5.60
家用电器,1,21.04,21.04,3.67,3.67
医疗保健,1,31.86,31.86,6.76,6.76
化工原料,1,42.83,42.83,2.09,2.09
化学制药,1,0.00,0.00,1.27,1.27
出版业,1,22.74,22.74,2.34,2.34
互联网,1,67.05,67.05,5.85,5.85
食品,1,0.00,0.00,2.47,2.47
